Index,Airline Name,From,To,Departure,Arrival,Return Airline Name,Return From,Return To,Return Departure,Return Arrival,Price
82,American Airlines,New York John F Kennedy Intl,London Heathrow,7:50 am,7:45 pm,American Airlines,London Heathrow,New York John F Kennedy Intl,7:05 pm,10:00 pm,"$1,164"
83,American Airlines,New York John F Kennedy Intl,London Heathrow,6:45 pm,6:50 am,American Airlines,London Heathrow,New York John F Kennedy Intl,7:40 pm,10:30 pm,"$1,164"
84,American Airlines,New York John F Kennedy Intl,London Heathrow,6:45 pm,6:50 am,American Airlines,London Heathrow,New York John F Kennedy Intl,7:05 pm,10:00 pm,"$1,164"
85,British Airways,New York John F Kennedy Intl,London Heathrow,9:45 am,9:40 pm,British Airways,London Heathrow,New York John F Kennedy Intl,2:10 pm,4:59 pm,"$1,187"
86,Austrian Airlines,Newark,London Heathrow,8:20 am,8:40 pm,Austrian Airlines,London Heathrow,Newark,12:00 pm,3:10 pm,"$1,223"
87,Iberia,New York John F Kennedy Intl,London Heathrow,9:45 am,9:40 pm,Iberia,London Heathrow,Newark,4:35 pm,7:25 pm,"$1,229"
88,Virgin Atlantic,New York John F Kennedy Intl,London Heathrow,1:00 am,4:35 pm,Virgin Atlantic,London Heathrow,New York John F Kennedy Intl,12:55 pm,4:00 pm,$802
89,SWISS,Newark,London Heathrow,5:25 pm,5:55 am,SWISS,London Heathrow,New York John F Kennedy Intl,8:45 am,4:35 pm,$786
90,United Airlines,Newark,London Heathrow,8:20 am,8:40 pm,United Airlines,London Heathrow,New York John F Kennedy Intl,1:30 pm,8:05 pm,$894
91,Brussels Airlines,Newark,London Heathrow,8:20 am,8:40 pm,Brussels Airlines,London Heathrow,Newark,12:00 pm,3:10 pm,"$1,221"
92,British Airways,New York John F Kennedy Intl,London Heathrow,9:45 am,9:40 pm,Finnair,London Heathrow,New York John F Kennedy Intl,7:05 pm,10:00 pm,"$1,252"
